utc_datetime,duration,cost,value
2025-01-14T23:30:00,900,75.02,0.374
2025-01-14T23:45:00,900,61.78,0.308
2025-01-15T00:00:00,900,158.86,0.792
2025-01-15T00:15:00,900,265.17,1.322
2025-01-15T00:30:00,900,195.37,0.974
2025-01-15T00:45:00,900,113.93,0.568
2025-01-15T01:00:00,900,89.06,0.444
2025-01-15T01:15:00,900,129.38,0.645
2025-01-15T01:30:00,900,177.52,0.885
2025-01-15T01:45:00,900,119.15,0.594
2025-01-15T02:00:00,900,36.05,0.303
2025-01-15T02:15:00,900,34.98,0.294
2025-01-15T02:30:00,900,90.79,0.763
2025-01-15T02:45:00,900,95.55,0.803
2025-01-15T03:00:00,900,101.74,0.855
2025-01-15T03:15:00,900,37.48,0.315
2025-01-15T03:30:00,900,96.74,0.813
2025-01-15T03:45:00,900,112.21,0.943
2025-01-15T04:00:00,900,108.4,0.911
2025-01-15T04:15:00,900,26.41,0.222
2025-01-15T04:30:00,900,82.58,0.694
2025-01-15T04:45:00,900,95.67,0.804
2025-01-15T05:00:00,900,18.56,0.156
2025-01-15T05:15:00,900,13.09,0.11
2025-01-15T05:30:00,900,13.8,0.116
2025-01-15T05:45:00,900,13.56,0.114
2025-01-15T06:00:00,900,14.39,0.121
2025-01-15T06:15:00,900,14.16,0.119
2025-01-15T06:30:00,900,13.32,0.112
2025-01-15T06:45:00,900,13.2,0.111
2025-01-15T07:00:00,900,13.56,0.114
2025-01-15T07:15:00,900,61.4,0.516
2025-01-15T07:30:00,900,94.84,0.797
2025-01-15T07:45:00,900,84.49,0.71
2025-01-15T08:00:00,900,96.27,0.809
2025-01-15T08:15:00,900,96.5,0.811
2025-01-15T08:30:00,900,97.1,0.816
2025-01-15T08:45:00,900,95.91,0.806
2025-01-15T09:00:00,900,96.15,0.808
2025-01-15T09:15:00,900,95.91,0.806
2025-01-15T09:30:00,900,97.34,0.818
2025-01-15T09:45:00,900,96.86,0.814
2025-01-15T10:00:00,900,85.32,0.717
2025-01-15T10:15:00,900,96.5,0.811
2025-01-15T10:30:00,900,96.15,0.808
2025-01-15T10:45:00,900,97.81,0.822
2025-01-15T11:00:00,900,95.79,0.805
2025-01-15T11:15:00,900,95.67,0.804
2025-01-15T11:30:00,900,96.15,0.808
2025-01-15T11:45:00,900,96.86,0.814
2025-01-15T12:00:00,900,97.81,0.822
2025-01-15T12:15:00,900,84.72,0.712
2025-01-15T12:30:00,900,97.1,0.816
2025-01-15T12:45:00,900,96.62,0.812
2025-01-15T13:00:00,900,78.54,0.66
2025-01-15T13:15:00,900,61.04,0.513
2025-01-15T13:30:00,900,41.41,0.348
2025-01-15T13:45:00,900,33.2,0.279
2025-01-15T14:00:00,900,39.15,0.329
2025-01-15T14:15:00,900,26.29,0.221
2025-01-15T14:30:00,900,89.84,0.755
2025-01-15T14:45:00,900,103.53,0.87
2025-01-15T15:00:00,900,103.76,0.872
2025-01-15T15:15:00,900,105.07,0.883
2025-01-15T15:30:00,900,108.64,0.913
2025-01-15T15:45:00,900,94.96,0.798
2025-01-15T16:00:00,900,174.21,1.464
2025-01-15T16:15:00,900,171.36,1.44
2025-01-15T16:30:00,900,138.63,1.165
2025-01-15T16:45:00,900,96.86,0.814
2025-01-15T17:00:00,900,84.13,0.707
2025-01-15T17:15:00,900,79.37,0.667
2025-01-15T17:30:00,900,74.85,0.629
2025-01-15T17:45:00,900,20.7,0.174
2025-01-15T18:00:00,900,23.68,0.199
2025-01-15T18:15:00,900,48.07,0.404
2025-01-15T18:30:00,900,49.74,0.418
2025-01-15T18:45:00,900,23.8,0.2
2025-01-15T19:00:00,900,19.99,0.168
2025-01-15T19:15:00,900,24.39,0.205
2025-01-15T19:30:00,900,24.99,0.21
2025-01-15T19:45:00,900,21.89,0.184
2025-01-15T20:00:00,900,26.36,0.165
2025-01-15T20:15:00,900,23.64,0.148
2025-01-15T20:30:00,900,24.28,0.152
2025-01-15T20:45:00,900,26.36,0.165
2025-01-15T21:00:00,900,29.72,0.186
2025-01-15T21:15:00,900,27.48,0.172
2025-01-15T21:30:00,900,27.32,0.171
2025-01-15T21:45:00,900,27.0,0.169
2025-01-15T22:00:00,900,36.5,0.182
2025-01-15T22:15:00,900,35.3,0.176
2025-01-15T22:30:00,900,33.89,0.169
2025-01-15T22:45:00,900,33.69,0.168
2025-01-15T23:00:00,900,36.7,0.183
2025-01-15T23:15:00,900,40.92,0.204
2025-01-15T23:30:00,900,39.91,0.199
2025-01-15T23:45:00,900,39.91,0.199
2025-01-16T00:00:00,900,60.97,0.304
2025-01-16T00:15:00,900,94.67,0.472
2025-01-16T00:30:00,900,62.98,0.314
2025-01-16T00:45:00,900,47.53,0.237
2025-01-16T01:00:00,900,40.11,0.2
2025-01-16T01:15:00,900,39.71,0.198
2025-01-16T01:30:00,900,41.12,0.205
2025-01-16T01:45:00,900,29.88,0.149
2025-01-16T02:00:00,900,19.87,0.167
2025-01-16T02:15:00,900,37.48,0.315
2025-01-16T02:30:00,900,129.35,1.087
2025-01-16T02:45:00,900,128.99,1.084
2025-01-16T03:00:00,900,108.76,0.914
2025-01-16T03:15:00,900,90.08,0.757
2025-01-16T03:30:00,900,89.13,0.749
2025-01-16T03:45:00,900,106.5,0.895
2025-01-16T04:00:00,900,58.9,0.495
2025-01-16T04:15:00,900,30.1,0.253
2025-01-16T04:30:00,900,30.22,0.254
2025-01-16T04:45:00,900,94.01,0.79
2025-01-16T05:00:00,900,23.68,0.199
2025-01-16T05:15:00,900,19.87,0.167
2025-01-16T05:30:00,900,17.25,0.145
2025-01-16T05:45:00,900,17.73,0.149
2025-01-16T06:00:00,900,19.51,0.164
2025-01-16T06:15:00,900,19.39,0.163
2025-01-16T06:30:00,900,18.92,0.159
2025-01-16T06:45:00,900,18.32,0.154
2025-01-16T07:00:00,900,18.56,0.156
2025-01-16T07:15:00,900,16.89,0.142
2025-01-16T07:30:00,900,17.49,0.147
2025-01-16T07:45:00,900,17.25,0.145
2025-01-16T08:00:00,900,19.39,0.163
2025-01-16T08:15:00,900,64.37,0.541
2025-01-16T08:30:00,900,89.48,0.752
2025-01-16T08:45:00,900,89.6,0.753
2025-01-16T09:00:00,900,86.98,0.731
2025-01-16T09:15:00,900,48.43,0.407
2025-01-16T09:30:00,900,88.77,0.746
2025-01-16T09:45:00,900,92.58,0.778
2025-01-16T10:00:00,900,91.15,0.766
2025-01-16T10:15:00,900,90.08,0.757
2025-01-16T10:30:00,900,88.89,0.747
2025-01-16T10:45:00,900,86.27,0.725
2025-01-16T11:00:00,900,86.87,0.73
2025-01-16T11:15:00,900,65.56,0.551
2025-01-16T11:30:00,900,69.97,0.588
2025-01-16T11:45:00,900,43.91,0.369
2025-01-16T12:00:00,900,87.7,0.737
2025-01-16T12:15:00,900,89.96,0.756
2025-01-16T12:30:00,900,91.27,0.767
2025-01-16T12:45:00,900,90.79,0.763
2025-01-16T13:00:00,900,115.19,0.968
2025-01-16T13:15:00,900,117.45,0.987
2025-01-16T13:30:00,900,101.5,0.853
2025-01-16T13:45:00,900,99.6,0.837
2025-01-16T14:00:00,900,88.53,0.744
2025-01-16T14:15:00,900,94.48,0.794
2025-01-16T14:30:00,900,93.41,0.785
2025-01-16T14:45:00,900,91.98,0.773
2025-01-16T15:00:00,900,93.77,0.788
2025-01-16T15:15:00,900,94.96,0.798
2025-01-16T15:30:00,900,102.57,0.862
2025-01-16T15:45:00,900,93.77,0.788
2025-01-16T16:00:00,900,34.51,0.29
2025-01-16T16:15:00,900,52.59,0.442
2025-01-16T16:30:00,900,34.03,0.286
2025-01-16T16:45:00,900,78.3,0.658
2025-01-16T17:00:00,900,29.15,0.245
2025-01-16T17:15:00,900,17.61,0.148
2025-01-16T17:30:00,900,15.58,0.131
2025-01-16T17:45:00,900,23.08,0.194
2025-01-16T18:00:00,900,49.5,0.416
2025-01-16T18:15:00,900,19.63,0.165
2025-01-16T18:30:00,900,17.61,0.148
2025-01-16T18:45:00,900,17.49,0.147
2025-01-16T19:00:00,900,18.32,0.154
2025-01-16T19:15:00,900,19.51,0.164
2025-01-16T19:30:00,900,18.08,0.152
2025-01-16T19:45:00,900,17.37,0.146
2025-01-16T20:00:00,900,24.44,0.153
2025-01-16T20:15:00,900,23.32,0.146
2025-01-16T20:30:00,900,25.72,0.161
2025-01-16T20:45:00,900,24.12,0.151
2025-01-16T21:00:00,900,25.72,0.161
2025-01-16T21:15:00,900,26.84,0.168
2025-01-16T21:30:00,900,29.56,0.185
2025-01-16T21:45:00,900,23.32,0.146
2025-01-16T22:00:00,900,24.67,0.123
2025-01-16T22:15:00,900,24.67,0.123
2025-01-16T22:30:00,900,27.28,0.136
2025-01-16T22:45:00,900,25.87,0.129
2025-01-16T23:00:00,900,24.87,0.124
2025-01-16T23:15:00,900,30.28,0.151
2025-01-16T23:30:00,900,35.1,0.175
2025-01-16T23:45:00,900,37.1,0.185
2025-01-17T00:00:00,900,34.7,0.173
2025-01-17T00:15:00,900,145.82,0.727
2025-01-17T00:30:00,900,94.67,0.472
2025-01-17T00:45:00,900,98.69,0.492
2025-01-17T01:00:00,900,41.52,0.207
2025-01-17T01:15:00,900,40.92,0.204
2025-01-17T01:30:00,900,44.33,0.221
2025-01-17T01:45:00,900,47.74,0.238
2025-01-17T02:00:00,900,28.56,0.24
2025-01-17T02:15:00,900,37.24,0.313
2025-01-17T02:30:00,900,37.48,0.315
2025-01-17T02:45:00,900,28.67,0.241
2025-01-17T03:00:00,900,28.44,0.239
2025-01-17T03:15:00,900,31.05,0.261
2025-01-17T03:30:00,900,30.94,0.26
2025-01-17T03:45:00,900,32.24,0.271
2025-01-17T04:00:00,900,30.82,0.259
2025-01-17T04:15:00,900,21.53,0.181
2025-01-17T04:30:00,900,16.3,0.137
2025-01-17T04:45:00,900,15.94,0.134
2025-01-17T05:00:00,900,16.66,0.14
2025-01-17T05:15:00,900,17.25,0.145
2025-01-17T05:30:00,900,17.25,0.145
2025-01-17T05:45:00,900,21.42,0.18
2025-01-17T06:00:00,900,20.23,0.17
2025-01-17T06:15:00,900,21.42,0.18
2025-01-17T06:30:00,900,19.39,0.163
2025-01-17T06:45:00,900,17.61,0.148
2025-01-17T07:00:00,900,15.94,0.134
2025-01-17T07:15:00,900,14.39,0.121
2025-01-17T07:30:00,900,18.8,0.158
2025-01-17T07:45:00,900,18.2,0.153
2025-01-17T08:00:00,900,18.2,0.153
2025-01-17T08:15:00,900,19.27,0.162
2025-01-17T08:30:00,900,16.42,0.138
